image_path,html_file,status,error_message
newdata\img\Database代写：CS352 A Miniature Relational Database\220px-RDBMS_structure.png,Database代写：CS352 A Miniature Relational Database.html,0,HTTP 403
newdata\img\Database代写：CS6272 PostgreSQL and MongoDB\375px-MongoDB-Logo.svg.png,Database代写：CS6272 PostgreSQL and MongoDB.html,0,HTTP 403
newdata\img\Database代写：CSI3530 Symmetric Hash Join\220px-Postgresql_elephant.svg.png,Database代写：CSI3530 Symmetric Hash Join.html,0,HTTP 403
newdata\img\Database代写：CSI508 Storage Manager\Main-components-of-a-storage-manager-Buffer-Pool-Manager-Latching.png,Database代写：CSI508 Storage Manager.html,0,HTTP 403
newdata\img\Database代写：FINA4359 Creating and Designing Databases\Difference-Between-DDL-and-DML_Figure-1.jpg,Database代写：FINA4359 Creating and Designing Databases.html,1,
newdata\img\Database代写：INFO90002 Casual Hire Recruitment System\450px-ER_Diagram_MMORPG.png,Database代写：INFO90002 Casual Hire Recruitment System.html,0,HTTP 403
newdata\img\Database代写：NCC32 Database Design and Development\220px-DVD_Rental_Query.png,Database代写：NCC32 Database Design and Development.html,0,HTTP 403
newdata\img\Docker代写：EETS8355 Docker Containers\docker.png,Docker代写：EETS8355 Docker Containers.html,1,
newdata\img\File System代写：CMPSC311 Mdadm Linear Device Networking\mdadm-472x200.jpg,File System代写：CMPSC311 Mdadm Linear Device Networking.html,0,HTTP 403
newdata\img\File System代写：CMPSC311 Mdadm Linear Device Part 2\mdadm-472x200.jpg,File System代写：CMPSC311 Mdadm Linear Device Part 2.html,0,HTTP 403
newdata\img\File System代写：CMPSC311 Mdadm Linear Device\mdadm-472x200.jpg,File System代写：CMPSC311 Mdadm Linear Device.html,0,HTTP 403
newdata\img\Game代写：ECE551 Adventure\Full-Color-Logo-Games-White-Small-1.png,Game代写：ECE551 Adventure.html,1,
newdata\img\Hadoop代写：CS301110 Applications of Big Data\220px-Plot_IDF_functions.png,Hadoop代写：CS301110 Applications of Big Data.html,0,HTTP 403
newdata\img\Hadoop代写：CS7121 MapReduce\hadoop-architecture.png,Hadoop代写：CS7121 MapReduce.html,0,HTTP 403
newdata\img\Hardware代写：CSC230 The LCD\220px-16x2_LCD_Arduino_LM35_temperature_sensor.svg.png,Hardware代写：CSC230 The LCD.html,0,HTTP 403
newdata\img\Hardware代写：CSE237A Sensor Interaction And Real Time Scheduler\muo-diy-raspberrypi4-featured2.jpg,Hardware代写：CSE237A Sensor Interaction And Real Time Scheduler.html,1,
newdata\img\Haskell代写：CSCI3136 Ripple Effect\ripple-effect.jpg,Haskell代写：CSCI3136 Ripple Effect.html,1,
newdata\img\Haskell代写：FIT2102 Lambda Calculus Parser\haskell-logo.svg,Haskell代写：FIT2102 Lambda Calculus Parser.html,1,
newdata\img\HTML代写：CMPT165 Incorporating CSS and Color\120px-CSS3_logo_and_wordmark.svg.png,HTML代写：CMPT165 Incorporating CSS and Color.html,0,HTTP 403
newdata\img\HTML代写：CMPT165 Mastering Visual Web Design\120px-CSS3_logo_and_wordmark.svg.png,HTML代写：CMPT165 Mastering Visual Web Design.html,0,HTTP 403
newdata\img\HTML代写：CP5638 Small Website\Responsive-web-design.jpeg,HTML代写：CP5638 Small Website.html,0,HTTP 404
newdata\img\HTML代写：CS100 Regina Website\225px-Regina_College_at_16th_Avenue_%28now_College_Avenue%29_and_Broad_Street%2C_1913._Building_under_construction..jpg,HTML代写：CS100 Regina Website.html,0,HTTP 403
newdata\img\HTML代写：CS6021 Web Visualization Dashboard\200px-3_Dashboards.JPG,HTML代写：CS6021 Web Visualization Dashboard.html,0,HTTP 403
newdata\img\HTML代写：INFO1234 Major League Baseball Form\38936437.png,HTML代写：INFO1234 Major League Baseball Form.html,0,Exceeded 30 redirects.
newdata\img\JavaScript代写：COMP2041 Seddit\1*7fXfXk2_d5t3_NHUMP-ZmQ.jpeg,JavaScript代写：COMP2041 Seddit.html,0,[Errno 22] Invalid argument: 'newdata/img\\JavaScript代写：COMP2041 Seddit\\1*7fXfXk2_d5t3_NHUMP-ZmQ.jpeg'
newdata\img\JavaScript代写：CS111981 Housing Virginia\100px-Logo_D3.svg.png,JavaScript代写：CS111981 Housing Virginia.html,0,HTTP 403
newdata\img\JavaScript代写：CS310 JavaScript Object\140px-Unofficial_JavaScript_logo_2.svg.png,JavaScript代写：CS310 JavaScript Object.html,1,
newdata\img\JavaScript代写：CS337 FHIR\220px-Fast_Healthcare_Interoperability_Resources_%28FHIR%29_logo.png,JavaScript代写：CS337 FHIR.html,0,HTTP 403
newdata\img\JavaScript代写：CS546 Asynchronous Programming\Asynchronous_Service_Call_fire_and_forget.png,JavaScript代写：CS546 Asynchronous Programming.html,1,
newdata\img\JavaScript代写：CSE270 Julia Sets\256px-Julia_set%2C_plotted_with_Matplotlib.svg.png,JavaScript代写：CSE270 Julia Sets.html,0,HTTP 403
newdata\img\JavaScript代写：CSE270M Computational Geomerty\p5-js_991413_full.jpg,JavaScript代写：CSE270M Computational Geomerty.html,0,HTTP 403
newdata\img\JavaScript代写：CSE6242 Tableau D3 Graphs and Visualization\xenonstack-overview-of-D3.js-library.png,JavaScript代写：CSE6242 Tableau D3 Graphs and Visualization.html,0,HTTP 404
newdata\img\Java代写：CAB302 Electronic Asset Trading Platform\220px-Deutsche-boerse-parkett-ffm008.jpg,Java代写：CAB302 Electronic Asset Trading Platform.html,0,HTTP 403
newdata\img\Java代写：CIS455 Web Crawling and Stream Processing\220px-WebCrawlerArchitecture.svg.png,Java代写：CIS455 Web Crawling and Stream Processing.html,0,HTTP 403
newdata\img\Java代写：CMSC132 Tetris Game\220px-Typical_Tetris_Game.svg.png,Java代写：CMSC132 Tetris Game.html,0,HTTP 403
newdata\img\Java代写：COMP10062 Deck of Cards\220px-Baraja_de_UNO.JPG,Java代写：COMP10062 Deck of Cards.html,0,HTTP 403
newdata\img\Java代写：COMP10062 Foon\170px-Multilevel_Inheritance.jpg,Java代写：COMP10062 Foon.html,0,HTTP 403
newdata\img\Java代写：COMP123 Primitive 2D Drawing\DrawExample.PNG,Java代写：COMP123 Primitive 2D Drawing.html,0,HTTP 503
newdata\img\Java代写：COMP2011 Quick Sort\200px-Quicksort-diagram.svg.png,Java代写：COMP2011 Quick Sort.html,0,HTTP 403
newdata\img\Java代写：COMP2202 Autocomplete\autocomplete.gif,Java代写：COMP2202 Autocomplete.html,1,
newdata\img\Java代写：COMP2207 Dstores\An-illustration-of-a-distributed-storage-system-equipped-with-7-nodes-and-storing-3-files_Q320.jpg,Java代写：COMP2207 Dstores.html,0,HTTP 403
newdata\img\Java代写：COMP2402B A Fast Default List\400px-Skip_list.svg.png,Java代写：COMP2402B A Fast Default List.html,0,HTTP 403
newdata\img\Java代写：COMP250 Market Place\220px-The_Moorish_Bazaar.jpg,Java代写：COMP250 Market Place.html,0,HTTP 403
newdata\img\Java代写：COMP282 Shortest Path\Dijkstra_Animation.gif,Java代写：COMP282 Shortest Path.html,1,
newdata\img\Java代写：COMP3020 Synchronization\220px-Photuris_lucicrescens.jpg,Java代写：COMP3020 Synchronization.html,0,HTTP 403
newdata\img\Java代写：COMP4012 Corba Based P2P File Sharing Application\200px-P2P-network.svg.png,Java代写：COMP4012 Corba Based P2P File Sharing Application.html,0,HTTP 403
newdata\img\Java代写：COMP612 Refactoring Recommender\badges_eCommerce2_Stage4.png,Java代写：COMP612 Refactoring Recommender.html,1,
newdata\img\Java代写：COMPS311 Advanced Java\220px-JSP_Model_2.svg.png,Java代写：COMPS311 Advanced Java.html,0,HTTP 403
newdata\img\Java代写：COMPS311 Lambdas and Streams\60px-Duke_%28Java_mascot%29_waving.svg.png,Java代写：COMPS311 Lambdas and Streams.html,1,
newdata\img\Java代写：COMS228 Prime Factor List\220px-Primes-vs-composites.svg.png,Java代写：COMS228 Prime Factor List.html,0,HTTP 403
newdata\img\Java代写：COMSW3134 Word Replacer\red-black-tree-java.png,Java代写：COMSW3134 Word Replacer.html,0,"HTTPSConnectionPool(host='static.javatpoint.com', port=443): Max retries exceeded with url: /core/images/red-black-tree-java.png (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))"
newdata\img\Java代写：CP471 Lexical Analysis and Parsing\Parser_Flow%D5%B8.gif,Java代写：CP471 Lexical Analysis and Parsing.html,1,
newdata\img\Java代写：CPSC210 Json App\160px-JSON_vector_logo.svg.png,Java代写：CPSC210 Json App.html,1,
newdata\img\Java代写：CPT204 Union Find\ProofOflogstarnRank.jpg,Java代写：CPT204 Union Find.html,1,
newdata\img\Java代写：CS112 Expression Evaluation\220px-Wi-Fi_challenge_Pi_equation_in_microMathematics_Plus_2.15.6_on_Android_2.3.png,Java代写：CS112 Expression Evaluation.html,0,HTTP 403
newdata\img\Java代写：CS144 Warriors\220px-Screenshot-Falcons-Eye.png,Java代写：CS144 Warriors.html,0,HTTP 403
newdata\img\Java代写：CS156980 Shapes Photo Album Part1\90bc09bd4b1383d0d1d2b183aee50d50.jpg,Java代写：CS156980 Shapes Photo Album Part1.html,1,
newdata\img\Java代写：CS156980 Shapes Photo Album Part2\400_400_35549540-1ad8-49d1-9bb6-eff8d589ca7d.jpg,Java代写：CS156980 Shapes Photo Album Part2.html,1,
newdata\img\Java代写：CS20007 Classroom\classroom-empty.jpg,Java代写：CS20007 Classroom.html,1,
newdata\img\Java代写：CS207 Ticket Vendor\230px-Brainstorming_Customer_Needs_%282%29.jpg,Java代写：CS207 Ticket Vendor.html,0,HTTP 403
newdata\img\Java代写：CS210 Word Search\300px-Wordsearch.svg.png,Java代写：CS210 Word Search.html,0,HTTP 403
newdata\img\Java代写：CS212 Hangman\spencerstudios-user-hangman_3.jpg,Java代写：CS212 Hangman.html,0,"HTTPSConnectionPool(host='plugins-soft.com', port=443): Max retries exceeded with url: /wp-content/uploads/apps/spencerstudios-user-hangman_3.jpg (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))"
newdata\img\Java代写：CS2212B Simple Publish Subscribe System\adg81065.gif,Java代写：CS2212B Simple Publish Subscribe System.html,1,
newdata\img\Java代写：CS345 Algorithms\220px-CodeAnalyst3.png,Java代写：CS345 Algorithms.html,0,HTTP 403
newdata\img\Java代写：CS350 Debugging\250px-Apache_Log4j_Logo.png,Java代写：CS350 Debugging.html,0,HTTP 403
newdata\img\Java代写：CS36379 Ballboy\220px-H%C3%A4nninhauta_2014.JPG,Java代写：CS36379 Ballboy.html,0,HTTP 403
newdata\img\Java代写：CS412 Chat Application\225px-XO_internet_access.jpg,Java代写：CS412 Chat Application.html,0,HTTP 403
newdata\img\Java代写：CS416 Location based Strategy Game Part 1\220px-Trail_on_a_location-based_game.jpg,Java代写：CS416 Location based Strategy Game Part 1.html,0,HTTP 403
newdata\img\Java代写：CS416 Location based Strategy Game Part 2\220px-Trail_on_a_location-based_game.jpg,Java代写：CS416 Location based Strategy Game Part 2.html,0,HTTP 403
newdata\img\Java代写：CS5004 Online Banking and RSA Digital Signatures\220px-RSA_Security_logo2.svg.png,Java代写：CS5004 Online Banking and RSA Digital Signatures.html,0,HTTP 403
newdata\img\Java代写：CS5004 Priority Queue\priority-queue-data-structure.jpg,Java代写：CS5004 Priority Queue.html,0,HTTP 502
newdata\img\Java代写：CS5024 Distributed Shared White Board\65dad33c-3b03-4aab-adff-284221383806_CollaborativeWhiteboard.png,Java代写：CS5024 Distributed Shared White Board.html,1,
newdata\img\Java代写：CS53385 Space Invaders\mainimage.png,Java代写：CS53385 Space Invaders.html,1,
newdata\img\Java代写：CS540 Neural Networks\Neuron3.png,Java代写：CS540 Neural Networks.html,1,
newdata\img\Java代写：CS602 Java Servlet\400px-JSPLife.png,Java代写：CS602 Java Servlet.html,0,HTTP 403
newdata\img\Java代写：CS61B Gitlet\220px-Git_operations.svg.png,Java代写：CS61B Gitlet.html,0,HTTP 403
newdata\img\Java代写：CS6300 Basic Java Coding And JUnit\junit5-banner.png,Java代写：CS6300 Basic Java Coding And JUnit.html,1,
newdata\img\Java代写：CS6300 Encode Utility\Wikipedia_in_binary.gif,Java代写：CS6300 Encode Utility.html,1,
newdata\img\Java代写：CS6300 Textprocessor\1a.jpg,Java代写：CS6300 Textprocessor.html,1,
newdata\img\Java代写：CS6310 Designing and Implementing the Streaming Wars System\streaming-wars.jpg,Java代写：CS6310 Designing and Implementing the Streaming Wars System.html,1,
newdata\img\Java代写：CSCI1933 ArrayLists vs LinkedLists\original.jpeg,Java代写：CSCI1933 ArrayLists vs LinkedLists.html,1,
newdata\img\Java代写：CSCI1933 Solving Grid Puzzles Using Stacks and Queues\2092e94ed31b34cfc6572394cf984f0a.jpg,Java代写：CSCI1933 Solving Grid Puzzles Using Stacks and Queues.html,1,
newdata\img\Java代写：CSCI1933 Stacks Queues and Grids\Difference-Between-Stack-and-Queue-300x234.png,Java代写：CSCI1933 Stacks Queues and Grids.html,1,
newdata\img\Java代写：CSCI3136 Recursive Descent Parser\400px-Abstract_syntax_tree_for_Euclidean_algorithm.svg.png,Java代写：CSCI3136 Recursive Descent Parser.html,0,HTTP 403
newdata\img\Java代写：CSCU9V5 Distributed Systems\300px-Distributed-parallel.svg.png,Java代写：CSCU9V5 Distributed Systems.html,0,HTTP 403
newdata\img\Java代写：CSE11 Maze Game\220px-Maze_2008a.JPG,Java代写：CSE11 Maze Game.html,0,HTTP 403
newdata\img\Java代写：CSE12 Hash Table\hash-table-200x133.png,Java代写：CSE12 Hash Table.html,1,
newdata\img\Java代写：CSE12 Heaps and Priority Queue\priorityQueue.png,Java代写：CSE12 Heaps and Priority Queue.html,1,
newdata\img\Java代写：CSE12 Stacks and Queues with a Deque\Difference-between-BFS-and-DFS.jpg,Java代写：CSE12 Stacks and Queues with a Deque.html,1,
newdata\img\Java代写：CSE214 Hiring System\Oop-uml-class-example.png,Java代写：CSE214 Hiring System.html,1,
newdata\img\Java代写：CSE214 iPhony pocket Telegraph Simulator\iphone_options.jpg,Java代写：CSE214 iPhony pocket Telegraph Simulator.html,1,
newdata\img\Java代写：CSE214 Planner\namePlate.gif,Java代写：CSE214 Planner.html,1,
newdata\img\Java代写：CSE274 Bags\170px-Row_and_column_major_order.svg.png,Java代写：CSE274 Bags.html,0,HTTP 403
newdata\img\Java代写：CSE374 Adjacency List\adjacency_matrix7866713320554367537.png,Java代写：CSE374 Adjacency List.html,1,
newdata\img\Java代写：CSE374 Red Black Tree\red-black-tree-java.png,Java代写：CSE374 Red Black Tree.html,0,"HTTPSConnectionPool(host='static.javatpoint.com', port=443): Max retries exceeded with url: /core/images/red-black-tree-java.png (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))"
newdata\img\Java代写：CSE510 Database Management System\220px-DVD_Rental_Query.png,Java代写：CSE510 Database Management System.html,0,HTTP 403
newdata\img\Java代写：CSE565 Analyzing Code Coverage\White_Box_Testing_Approach.png,Java代写：CSE565 Analyzing Code Coverage.html,0,HTTP 403
newdata\img\Java代写：CSI410 Database System\2b9ccc24dcd580462792b26bc8c9e79ffe4bbd0b,Java代写：CSI410 Database System.html,1,
newdata\img\Java代写：CSIS460 Threaded Web Crawler\220px-WebCrawlerArchitecture.svg.png,Java代写：CSIS460 Threaded Web Crawler.html,0,HTTP 403
newdata\img\Java代写：DSA2020 Zombie Simulator\400px-Skip_list.svg.png,Java代写：DSA2020 Zombie Simulator.html,0,HTTP 403
newdata\img\Java代写：FIT5171 Test A Web Application\250px-Spark_Java_Logo.png,Java代写：FIT5171 Test A Web Application.html,0,HTTP 403
newdata\img\Java代写：FIT9131 21 With Primes\220px-Preferans_%28card_game%29_in_Croatia.2.jpg,Java代写：FIT9131 21 With Primes.html,0,HTTP 403
newdata\img\Java代写：FIT9131 Koala Rescue\240px-Koala_climbing_tree.jpg,Java代写：FIT9131 Koala Rescue.html,0,HTTP 403
newdata\img\Java代写：INFO1113 Gameplay\circle14.png,Java代写：INFO1113 Gameplay.html,1,
newdata\img\Java代写：ITI1121 Symmetries and Iterators\200px-Tic_tac_toe.svg.png,Java代写：ITI1121 Symmetries and Iterators.html,1,
newdata\img\Java代写：ITP265 Accomplishment\200px-Kaggle_logo.png,Java代写：ITP265 Accomplishment.html,0,HTTP 403
newdata\img\Java代写：ITP4510 Queues\300px-Data_Queue.svg.png,Java代写：ITP4510 Queues.html,1,
newdata\img\Java代写：SWEN20003 Shadow Bounce\220px-Video_game_-_Ms_Pacman_and_Galaga.jpg,Java代写：SWEN20003 Shadow Bounce.html,0,HTTP 403
newdata\img\Kaggle代写：FIT5212 Recommender System Challenge\200px-Kaggle_logo.png,Kaggle代写：FIT5212 Recommender System Challenge.html,0,HTTP 403
newdata\img\Kubernetes代写：DCNE401 Kubernetes\a14ea587-kube-01.png,Kubernetes代写：DCNE401 Kubernetes.html,1,
newdata\img\Machine Learning代写：BAN7002 Predictin gLoan\400px-Exam_pass_logistic_curve.jpeg,Machine Learning代写：BAN7002 Predictin gLoan.html,0,HTTP 403
newdata\img\Machine Learning代写：COMP9517 Computer Vision\kaggle-logo-transparent-300-e1357163306601.png,Machine Learning代写：COMP9517 Computer Vision.html,0,HTTP 403
newdata\img\Machine Learning代写：COMPSCI226 Gradient Boosting Algorithm\220px-Kernel_Machine.svg.png,Machine Learning代写：COMPSCI226 Gradient Boosting Algorithm.html,0,HTTP 403
newdata\img\Machine Learning代写：CS418 Kernel PCA\220px-GaussianScatterPCA.svg.png,Machine Learning代写：CS418 Kernel PCA.html,0,HTTP 403
newdata\img\Machine Learning代写：CS504 Object Detection for Edge Computing Class\mht2qZxRPtVYBF7hPYq8cOTsfQc.png,Machine Learning代写：CS504 Object Detection for Edge Computing Class.html,1,
newdata\img\Machine Learning代写：CSCC11 Classification\250px-Computer_vision_sample_in_Sim%C3%B3n_Bolivar_Avenue%2C_Quito.jpg,Machine Learning代写：CSCC11 Classification.html,0,HTTP 403
newdata\img\Machine Learning代写：ISE543 Predictive Model\azure-small.png,Machine Learning代写：ISE543 Predictive Model.html,0,HTTP 403
newdata\img\Machine Learning代写：QHF30004 QMUL\v2-83556a205a0e2dd88eaef98e41aec110_1200x500.jpg,Machine Learning代写：QHF30004 QMUL.html,1,
newdata\img\MIPS代写：CSC258 Doodle Jump\Doodle_jump_icon.png,MIPS代写：CSC258 Doodle Jump.html,0,HTTP 403
newdata\img\MIPS代写：CSC258 Horizontal Scrolling Space\170px-Spacewar1.png,MIPS代写：CSC258 Horizontal Scrolling Space.html,0,HTTP 403
newdata\img\MPI代写：COMP388 Solving the Navier Stokes Equation\nseqs.gif,MPI代写：COMP388 Solving the Navier Stokes Equation.html,1,
newdata\img\MPI代写：CS484 2D Van der Waals Gas Simulator\mpi-forum-logo.png,MPI代写：CS484 2D Van der Waals Gas Simulator.html,1,
newdata\img\MySQL代写：DBS201 HR Application\300px-Mysql-screenshot.PNG,MySQL代写：DBS201 HR Application.html,0,HTTP 403
newdata\img\Network代写：CITS3002 3-Tier Network\Three-tier-data-center-topology_Q640.jpg,Network代写：CITS3002 3-Tier Network.html,0,HTTP 403
newdata\img\Network代写：CNT4713 DNS Lookup\400px-Domain_name_space.svg.png,Network代写：CNT4713 DNS Lookup.html,0,HTTP 403
newdata\img\Network代写：CS176A Wireshark\300px-Wireshark_3.0.3_screenshot.png,Network代写：CS176A Wireshark.html,0,HTTP 403
newdata\img\Network代写：CS2024 SDN Firewall with POX\SDN-Architecture_Q320.jpg,Network代写：CS2024 SDN Firewall with POX.html,0,HTTP 403
newdata\img\Network代写：CS332 Bulletin Board Server\250px-Tcp_state_diagram_fixed_new.svg.png,Network代写：CS332 Bulletin Board Server.html,1,
newdata\img\Network代写：CS363 Stop and Wait\440px-Internet_layering.svg.png,Network代写：CS363 Stop and Wait.html,0,HTTP 403
newdata\img\Network代写：CS741 Exploring the Wi-Fi PHY\220px-Wi-fi_alliance_logo.png,Network代写：CS741 Exploring the Wi-Fi PHY.html,0,HTTP 403
newdata\img\Network代写：CSU33031 Computer NetworksFlow Forwarding\370px-2550T-PWR-Front.jpg,Network代写：CSU33031 Computer NetworksFlow Forwarding.html,0,HTTP 403
newdata\img\Network代写：EE450 Library Registration System\20605728.png,Network代写：EE450 Library Registration System.html,0,Exceeded 30 redirects.
newdata\img\Network代写：EE450 Socket Programming Project\client-server.png,Network代写：EE450 Socket Programming Project.html,0,HTTP 400
newdata\img\Network代写：EE450 Student Performance Analysis System\Student-Performance-Analysis-Reporting-System-300x158.jpg,Network代写：EE450 Student Performance Analysis System.html,1,
newdata\img\Network代写：LUIN033 Network Protocol Analyzer\400px-OSI-model-Communication.svg.png,Network代写：LUIN033 Network Protocol Analyzer.html,1,
newdata\img\NodeJS代写：COMP3322B News Feed Application\250px-MongoDB_Logo.svg.png,NodeJS代写：COMP3322B News Feed Application.html,0,HTTP 403
newdata\img\OpenGL代写：COMP4610 OpenGL Problems\300px-Linux_kernel_and_OpenGL_video_games.svg.png,OpenGL代写：COMP4610 OpenGL Problems.html,1,
newdata\img\OpenGL代写：CSCI2270 Rasterization\220px-Top-left_triangle_rasterization_rule.gif,OpenGL代写：CSCI2270 Rasterization.html,0,HTTP 403
newdata\img\OpenMPI代写：CMSC433 Game of Life MPI Implementation\Gospers_glider_gun.gif,OpenMPI代写：CMSC433 Game of Life MPI Implementation.html,1,
newdata\img\OpenMP代写：CS484 Matrix Transpose\matrix-multiplication.png,OpenMP代写：CS484 Matrix Transpose.html,0,HTTP 403
newdata\img\OpenMP代写：FIT3143 Seismic Readings For Earthquake Detection In A Distributed Wireless Sensor Network\gfg_wireless_sensor_network.png,OpenMP代写：FIT3143 Seismic Readings For Earthquake Detection In A Distributed Wireless Sensor Network.html,1,
newdata\img\Operating System代写：CIS3110 Making Your Own Shell\370px-Bash_demo.png,Operating System代写：CIS3110 Making Your Own Shell.html,0,HTTP 403
newdata\img\Operating System代写：CIS657 Virtual Memory System\250px-Virtual_memory.svg.png,Operating System代写：CIS657 Virtual Memory System.html,1,
newdata\img\Operating System代写：CMPSC473 Writing A Dynamic Storage Allocator\Screenshot-34-300x196.png,Operating System代写：CMPSC473 Writing A Dynamic Storage Allocator.html,1,
newdata\img\Operating System代写：CMPT300 IPC and Concurrency\260px-ArchitectureCloudLinksSameSite.png,Operating System代写：CMPT300 IPC and Concurrency.html,0,HTTP 403
newdata\img\Operating System代写：CMPT300 Syscalls\300px-Linux_kernel_interfaces.svg.png,Operating System代写：CMPT300 Syscalls.html,0,HTTP 403
newdata\img\Operating System代写：COMP0019 Debuggers and Virtual Memory\220px-Winpdb-1.3.6.png,Operating System代写：COMP0019 Debuggers and Virtual Memory.html,0,HTTP 403
newdata\img\Operating System代写：COMP2560 Devices as Files\spaces.jpg,Operating System代写：COMP2560 Devices as Files.html,1,
newdata\img\Operating System代写：COMP30023 Process Management\kernelovr.arch.epsi.gif,Operating System代写：COMP30023 Process Management.html,1,
newdata\img\Operating System代写：COMP3032 Heap Allocator\heap-memory-allocation.png,Operating System代写：COMP3032 Heap Allocator.html,1,
newdata\img\Operating System代写：COMP3520 Synchronization\220px-Multiple_Processes_Accessing_the_shared_resource.png,Operating System代写：COMP3520 Synchronization.html,0,HTTP 403
newdata\img\Operating System代写：COMP420 Fork\fork-system-call.jpg,Operating System代写：COMP420 Fork.html,0,HTTP 404
newdata\img\Operating System代写：COMP474 Kernel Memory Management\memory-management-operating-system.png,Operating System代写：COMP474 Kernel Memory Management.html,0,"HTTPSConnectionPool(host='static.javatpoint.com', port=443): Max retries exceeded with url: /operating-system/images/memory-management-operating-system.png (Caused by SSLError(SSLEOFError(8, 'EOF occurred in violation of protocol (_ssl.c:997)')))"
newdata\img\Operating System代写：COMPSCI143A Threads\220px-Multithreaded_process.svg.png,Operating System代写：COMPSCI143A Threads.html,1,
newdata\img\Operating System代写：CPSC415 Device Driver\GUI_-_Delegate_Event_Model.PNG,Operating System代写：CPSC415 Device Driver.html,0,HTTP 403
newdata\img\Operating System代写：CS351 Benchmarking Synchronization Mechanisms\220px-Multiple_Processes_Accessing_the_shared_resource.png,Operating System代写：CS351 Benchmarking Synchronization Mechanisms.html,0,HTTP 403
newdata\img\Operating System代写：CS354 Kernel Instrumentation and Fair Scheduling\220px-Simplified_Structure_of_the_Linux_Kernel.svg.png,Operating System代写：CS354 Kernel Instrumentation and Fair Scheduling.html,0,HTTP 403
newdata\img\Operating System代写：CS427 Shared Memory\shared-memory.png,Operating System代写：CS427 Shared Memory.html,1,
